year_month,ziyaretci_sayisi,YoY_Inflation (%),tr/usd_exchange
2019-01,918949,17.591868647380764,5.2873
2019-02,984689,16.65369649805448,5.1803
2019-03,1165591,16.228748068006183,5.3048
2019-04,1329868,15.6108597285068,5.5889
2019-05,1016809,15.887156644394956,5.9650
2019-06,1361302,14.81751824817519,5.9121
2019-07,1666319,15.991316931982652,5.7394
2019-08,1540120,14.971751412429391,5.5785
2019-09,1359175,9.51430472388555,5.8312
2019-10,1347554,8.78334417696812,5.6480
2019-11,1088372,11.26573889993373,5.7108
2019-12,1127915,11.702127659574463,5.7445
2020-01,1017034,12.341561040693795,5.9478
2020-02,962151,12.765957446808502,5.9768
2020-03,374101,11.937377690802336,6.2069
2020-04,960,11.723254324151194,6.6152
2020-05,847,12.96884933248568,6.9878
2020-06,66725,11.977542108546468,6.8035
2020-07,301930,11.547911547911536,6.8474
2020-08,436198,11.60388821385176,6.9702
2020-09,460670,11.842105263157904,7.3458
2020-10,533405,13.400833829660511,7.7068
2020-11,439920,14.166666666666677,8.2985
2020-12,408040,15.243179122182692,7.8243
2021-01,334825,15.736342042755345,7.4338
2021-02,350913,16.33254716981133,7.2797
2021-03,545608,16.958041958041957,7.4159
2021-04,419686,16.227064220183475,8.2542
2021-05,384630,16.657287563308962,8.2864
2021-06,684621,16.15598885793872,8.4841
2021-07,1130999,15.19823788546255,8.6918
2021-08,1002722,15.623298856831802,8.4527
2021-09,975916,15.935828877005353,8.3169
2021-10,1152771,17.01680672268908,8.8816
2021-11,997620,31.074035453597492,9.5840
2021-12,1044693,39.73237261966031,13.5099
2022-01,791578,44.125192406362224,13.2861
2022-02,956482,48.6568677141409,13.2980
2022-03,1156400,53.064275037369214,13.7747
2022-04,977888,57.22742969906266,14.6662
2022-05,1402366,58.85190545103715,14.7889
2022-06,1470586,63.741007194244595,16.3777
2022-07,1759506,67.92543021032506,16.6919
2022-08,1665983,69.67984934086627,17.9225
2022-09,1607045,71.7250922509225,18.1892
2022-10,1584692,70.55655296229801,18.4975
2022-11,1341948,54.29594272076371,18.6167
2022-12,1304252,54.25414364640885,18.6300
2023-01,1189827,51.90459238163048,18.6808
2023-02,1084033,48.44868735083531,18.8040
2023-03,1206770,45.963541666666664,18.8824
2023-04,1289903,46.18763727643552,19.1757
2023-05,1505948,47.37321591254175,19.4495
2023-06,1627057,55.82893966022262,20.7864
2023-07,1873097,64.30401366353544,26.0386
2023-08,1747611,68.95116537180911,26.9260
2023-09,1631963,69.48697287134031,26.6879
2023-10,1606505,70.05263157894738,27.4589
2023-11,1288610,70.3016241299304,28.3024
2023-12,1318706,70.29,28.8864
2024-01,1165996,70.48,29.0181
2024-02,1291522,72.89,30.3598
2024-03,1309200,75.21,31.2794
2024-04,1478218,75.81,32.4234
2024-05,1678832,74.98,32.4033
2024-06,1638399,71.41,32.2391
2024-07,1905146,60.23,32.7705
2024-08,1278527,51.56,33.176
2024-09,1100202,49.10,34.0687
2024-10,1244185,47.75,34.204
2024-11,841971,47.13,34.2938
2024-12,974839,45.34,34.6568